Province,Date,Sex,Age,Cumulative number of people (Vaccinedose1)
Prince Edward Island,2021-01-02,f,80+,0
Prince Edward Island,2021-01-02,m,80+,0
Prince Edward Island,2021-01-02,Unknown,80+,0
Prince Edward Island,2021-01-02,Not reported,80+,0
Nova Scotia,2021-01-02,All sexes,80+,9
Nova Scotia,2021-01-02,f,80+,5
Nova Scotia,2021-01-02,m,80+,4
Nova Scotia,2021-01-02,Unknown,80+,0
Nova Scotia,2021-01-02,Not reported,80+,0
Quebec,2021-01-02,All sexes,80+,1795
Quebec,2021-01-02,f,80+,1215
Quebec,2021-01-02,m,80+,580
Quebec,2021-01-02,Unknown,80+,0
Quebec,2021-01-02,Not reported,80+,0
Manitoba,2021-01-02,All sexes,80+,2
Manitoba,2021-01-02,f,80+,1
Manitoba,2021-01-02,m,80+,1
Manitoba,2021-01-02,Unknown,80+,0
Manitoba,2021-01-02,Not reported,80+,0
Saskatchewan,2021-01-02,All sexes,80+,0
Saskatchewan,2021-01-02,f,80+,0
Saskatchewan,2021-01-02,m,80+,0
Saskatchewan,2021-01-02,Unknown,80+,0
Saskatchewan,2021-01-02,Not reported,80+,0
Alberta,2021-01-02,All sexes,80+,708
Alberta,2021-01-02,f,80+,494
Alberta,2021-01-02,m,80+,214
Alberta,2021-01-02,Unknown,80+,0
Alberta,2021-01-02,Not reported,80+,0
British Columbia,2021-01-02,All sexes,80+,3608
British Columbia,2021-01-02,f,80+,2489
British Columbia,2021-01-02,m,80+,1119
British Columbia,2021-01-02,Unknown,80+,0
British Columbia,2021-01-02,Not reported,80+,0
Yukon,2021-01-02,All sexes,80+,0
Yukon,2021-01-02,f,80+,0
Yukon,2021-01-02,m,80+,0
Yukon,2021-01-02,Unknown,80+,0
Yukon,2021-01-02,Not reported,80+,0
Northwest Territories,2021-01-02,All sexes,80+,38
Northwest Territories,2021-01-02,f,80+,27
Northwest Territories,2021-01-02,m,80+,11
Northwest Territories,2021-01-02,Unknown,80+,0
Northwest Territories,2021-01-02,Not reported,80+,0
Nunavut,2021-01-02,All sexes,80+,0
Nunavut,2021-01-02,f,80+,0
Nunavut,2021-01-02,m,80+,0
Nunavut,2021-01-02,Unknown,80+,0
Nunavut,2021-01-02,Not reported,80+,0
Canada,2021-01-09,All sexes,80+,32271
Canada,2021-01-09,f,80+,22850
Canada,2021-01-09,m,80+,9421
Canada,2021-01-09,Unknown,80+,0
Canada,2021-01-09,Not reported,80+,0
Newfoundland and Labrador,2021-01-09,All sexes,80+,2
Newfoundland and Labrador,2021-01-09,f,80+,1
Newfoundland and Labrador,2021-01-09,m,80+,1
Newfoundland and Labrador,2021-01-09,Unknown,80+,0
Newfoundland and Labrador,2021-01-09,Not reported,80+,0
Prince Edward Island,2021-01-09,All sexes,80+,221
Prince Edward Island,2021-01-09,f,80+,155
Prince Edward Island,2021-01-09,m,80+,66
Prince Edward Island,2021-01-09,Unknown,80+,0
Prince Edward Island,2021-01-09,Not reported,80+,0
Nova Scotia,2021-01-09,All sexes,80+,9
Nova Scotia,2021-01-09,f,80+,5
Nova Scotia,2021-01-09,m,80+,4
Nova Scotia,2021-01-09,Unknown,80+,0
Nova Scotia,2021-01-09,Not reported,80+,0
Quebec,2021-01-09,All sexes,80+,13419
Quebec,2021-01-09,f,80+,9709
Quebec,2021-01-09,m,80+,3710
Quebec,2021-01-09,Unknown,80+,0
Quebec,2021-01-09,Not reported,80+,0
Manitoba,2021-01-09,All sexes,80+,37
Manitoba,2021-01-09,f,80+,17
Manitoba,2021-01-09,m,80+,20
Manitoba,2021-01-09,Unknown,80+,0
Manitoba,2021-01-09,Not reported,80+,0
Saskatchewan,2021-01-09,All sexes,80+,105
Saskatchewan,2021-01-09,f,80+,56
Saskatchewan,2021-01-09,m,80+,49
Saskatchewan,2021-01-09,Unknown,80+,0
Saskatchewan,2021-01-09,Not reported,80+,0
Alberta,2021-01-09,All sexes,80+,7727
Alberta,2021-01-09,f,80+,5408
Alberta,2021-01-09,m,80+,2319
Alberta,2021-01-09,Unknown,80+,0
Alberta,2021-01-09,Not reported,80+,0
British Columbia,2021-01-09,All sexes,80+,10567
British Columbia,2021-01-09,f,80+,7388
British Columbia,2021-01-09,m,80+,3179
British Columbia,2021-01-09,Unknown,80+,0
British Columbia,2021-01-09,Not reported,80+,0
Yukon,2021-01-09,All sexes,80+,82
Yukon,2021-01-09,f,80+,49
Yukon,2021-01-09,m,80+,33
Yukon,2021-01-09,Unknown,80+,0
Yukon,2021-01-09,Not reported,80+,0
Northwest Territories,2021-01-09,All sexes,80+,102
Northwest Territories,2021-01-09,f,80+,62
Northwest Territories,2021-01-09,m,80+,40
Northwest Territories,2021-01-09,Unknown,80+,0
Northwest Territories,2021-01-09,Not reported,80+,0
Nunavut,2021-01-09,All sexes,80+,0
Nunavut,2021-01-09,f,80+,0
Nunavut,2021-01-09,m,80+,0
Nunavut,2021-01-09,Unknown,80+,0
Nunavut,2021-01-09,Not reported,80+,0
Canada,2021-01-16,All sexes,80+,60972
Canada,2021-01-16,f,80+,43214
Canada,2021-01-16,m,80+,17748
Canada,2021-01-16,Unknown,80+,10
Canada,2021-01-16,Not reported,80+,0
Newfoundland and Labrador,2021-01-16,All sexes,80+,218
Newfoundland and Labrador,2021-01-16,f,80+,148
Newfoundland and Labrador,2021-01-16,m,80+,70
Newfoundland and Labrador,2021-01-16,Unknown,80+,0
Newfoundland and Labrador,2021-01-16,Not reported,80+,0
Prince Edward Island,2021-01-16,All sexes,80+,1052
Prince Edward Island,2021-01-16,f,80+,731
Prince Edward Island,2021-01-16,m,80+,321
Prince Edward Island,2021-01-16,Unknown,80+,0
Prince Edward Island,2021-01-16,Not reported,80+,0
Nova Scotia,2021-01-16,All sexes,80+,276
Nova Scotia,2021-01-16,f,80+,210
Nova Scotia,2021-01-16,m,80+,66
Nova Scotia,2021-01-16,Unknown,80+,0
Nova Scotia,2021-01-16,Not reported,80+,0
Quebec,2021-01-16,All sexes,80+,20923
Quebec,2021-01-16,f,80+,15085
Quebec,2021-01-16,m,80+,5829
Quebec,2021-01-16,Unknown,80+,9
Quebec,2021-01-16,Not reported,80+,0
Ontario,2021-01-16,All sexes,80+,0
Ontario,2021-01-16,f,80+,0
Ontario,2021-01-16,m,80+,0
Ontario,2021-01-16,Unknown,80+,0
Ontario,2021-01-16,Not reported,80+,0
Manitoba,2021-01-16,All sexes,80+,754
Manitoba,2021-01-16,f,80+,496
Manitoba,2021-01-16,m,80+,258
Manitoba,2021-01-16,Unknown,80+,0
Manitoba,2021-01-16,Not reported,80+,0
Saskatchewan,2021-01-16,All sexes,80+,3006
Saskatchewan,2021-01-16,f,80+,2039
Saskatchewan,2021-01-16,m,80+,967
Saskatchewan,2021-01-16,Unknown,80+,0
Saskatchewan,2021-01-16,Not reported,80+,0
Alberta,2021-01-16,All sexes,80+,16719
Alberta,2021-01-16,f,80+,11906
Alberta,2021-01-16,m,80+,4813
Alberta,2021-01-16,Unknown,80+,0
Alberta,2021-01-16,Not reported,80+,0
British Columbia,2021-01-16,All sexes,80+,17682
British Columbia,2021-01-16,f,80+,12409
British Columbia,2021-01-16,m,80+,5272
British Columbia,2021-01-16,Unknown,80+,1
British Columbia,2021-01-16,Not reported,80+,0
Yukon,2021-01-16,All sexes,80+,149
Yukon,2021-01-16,f,80+,87
Yukon,2021-01-16,m,80+,62
Yukon,2021-01-16,Unknown,80+,0
Yukon,2021-01-16,Not reported,80+,0
Northwest Territories,2021-01-16,All sexes,80+,151
