Date,Province,Cumulative number of people (Vaccinedose1),Cumulative percent of people (Vaccinedose1)
1/22/2022,Nova Scotia,884139,86.7
1/22/2022,New Brunswick,690436,85
1/22/2022,Quebec,7330275,84.3
1/22/2022,Ontario,12353617,81.8
1/22/2022,Manitoba,1138415,80.8
1/22/2022,Saskatchewan,943785,79
1/22/2022,Alberta,3507630,77.2
1/22/2022,British Columbia,4442841,83.5
1/22/2022,Yukon,36254,82.5
1/22/2022,Northwest Territories,34630,79.4
1/22/2022,Nunavut,31423,77.5
1/30/2022,Canada,32139822,82.6
1/30/2022,Newfoundland and Labrador,495133,94.1
1/30/2022,Prince Edward Island,148260,86.9
1/30/2022,Nova Scotia,887053,87
1/30/2022,New Brunswick,693025,85.3
1/30/2022,Quebec,7347364,84.5
1/30/2022,Ontario,12396636,82
1/30/2022,Manitoba,1142241,81.1
1/30/2022,Saskatchewan,947703,79.3
1/30/2022,Alberta,3522746,77.5
1/30/2022,British Columbia,4456918,83.8
1/30/2022,Yukon,36343,82.7
1/30/2022,Northwest Territories,34719,79.6
1/30/2022,Nunavut,31681,78.2
2/6/2022,Canada,32210798,82.7
2/6/2022,Newfoundland and Labrador,495987,94.3
2/6/2022,Prince Edward Island,148680,87.1
2/6/2022,Nova Scotia,889683,87.2
2/6/2022,New Brunswick,694645,85.5
2/6/2022,Quebec,7356355,84.6
2/6/2022,Ontario,12429510,82.3
2/6/2022,Manitoba,1145025,81.3
2/6/2022,Saskatchewan,949487,79.5
2/6/2022,Alberta,3530244,77.7
2/6/2022,British Columbia,4467960,84
2/6/2022,Yukon,36386,82.8
2/6/2022,Northwest Territories,34801,79.8
2/6/2022,Nunavut,32035,79
2/13/2022,Canada,32272793,82.9
2/13/2022,Newfoundland and Labrador,496844,94.5
2/13/2022,Prince Edward Island,149127,87.4
2/13/2022,Nova Scotia,891327,87.4
2/13/2022,New Brunswick,696029,85.7
2/13/2022,Quebec,7368725,84.7
2/13/2022,Ontario,12457832,82.5
2/13/2022,Manitoba,1147621,81.4
2/13/2022,Saskatchewan,950828,79.6
2/13/2022,Alberta,3535101,77.8
2/13/2022,British Columbia,4475663,84.1
2/13/2022,Yukon,36457,82.9
2/13/2022,Northwest Territories,34886,80
2/13/2022,Nunavut,32353,79.8
2/20/2022,Canada,32326148,83
2/20/2022,Newfoundland and Labrador,497446,94.6
2/20/2022,Prince Edward Island,149351,87.5
2/20/2022,Nova Scotia,895864,87.9
2/20/2022,New Brunswick,696808,85.8
2/20/2022,Quebec,7374683,84.8
2/20/2022,Ontario,12477223,82.6
2/20/2022,Manitoba,1149474,81.6
2/20/2022,Saskatchewan,951556,79.6
2/20/2022,Alberta,3539255,77.9
2/20/2022,British Columbia,4490516,84.4
2/20/2022,Yukon,36488,83
2/20/2022,Northwest Territories,34923,80.1
2/20/2022,Nunavut,32561,80.3
2/27/2022,Canada,32353218,83.1
2/27/2022,Newfoundland and Labrador,497920,94.7
2/27/2022,Prince Edward Island,149521,87.6
2/27/2022,Nova Scotia,896522,87.9
2/27/2022,New Brunswick,697403,85.9
2/27/2022,Quebec,7378913,84.9
2/27/2022,Ontario,12489709,82.7
2/27/2022,Manitoba,1150490,81.6
2/27/2022,Saskatchewan,952153,79.7
2/27/2022,Alberta,3541971,78
2/27/2022,British Columbia,4494515,84.5
2/27/2022,Yukon,36499,83
2/27/2022,Northwest Territories,34958,80.1
2/27/2022,Nunavut,32644,80.6
3/6/2022,Canada,32372942,83.2
3/6/2022,Newfoundland and Labrador,498102,94.7
3/6/2022,Prince Edward Island,149633,87.7
3/6/2022,Nova Scotia,896923,88
3/6/2022,New Brunswick,697744,85.9
3/6/2022,Quebec,7381667,84.9
3/6/2022,Ontario,12498492,82.7
3/6/2022,Manitoba,1151502,81.7
3/6/2022,Saskatchewan,952749,79.7
3/6/2022,Alberta,3543997,78
3/6/2022,British Columbia,4497944,84.6
3/6/2022,Yukon,36490,83
3/6/2022,Northwest Territories,34958,80.1
3/6/2022,Nunavut,32741,80.8
3/13/2022,Canada,32389920,83.2
3/13/2022,Newfoundland and Labrador,498283,94.7
3/13/2022,Prince Edward Island,149749,87.7
3/13/2022,Nova Scotia,897207,88
3/13/2022,New Brunswick,697997,86
3/13/2022,Quebec,7383909,84.9
3/13/2022,Ontario,12506368,82.8
3/13/2022,Manitoba,1152121,81.8
3/13/2022,Saskatchewan,953084,79.8
3/13/2022,Alberta,3545894,78
3/13/2022,British Columbia,4500983,84.6
3/13/2022,Yukon,36501,83
3/13/2022,Northwest Territories,35013,80.3
3/13/2022,Nunavut,32811,81
3/20/2022,Canada,32396169,83.2
3/20/2022,Newfoundland and Labrador,498432,94.8
3/20/2022,Prince Edward Island,149823,87.8
3/20/2022,Nova Scotia,897451,88
3/20/2022,New Brunswick,698261,86
3/20/2022,Quebec,7377715,84.8
3/20/2022,Ontario,12513005,82.8
3/20/2022,Manitoba,1152704,81.8
3/20/2022,Saskatchewan,953403,79.8
3/20/2022,Alberta,3547819,78.1
3/20/2022,British Columbia,4503130,84.7
3/20/2022,Yukon,36513,83.1
3/20/2022,Northwest Territories,35029,80.3
3/20/2022,Nunavut,32884,81.1
3/27/2022,Canada,32406486,83.2
3/27/2022,Newfoundland and Labrador,498548,94.8
3/27/2022,Prince Edward Island,149890,87.8
3/27/2022,Nova Scotia,898705,88.1
3/27/2022,New Brunswick,698479,86
3/27/2022,Quebec,7375995,84.8
3/27/2022,Ontario,12518007,82.8
3/27/2022,Manitoba,1153245,81.8
3/27/2022,Saskatchewan,953714,79.8
3/27/2022,Alberta,3549634,78.1
3/27/2022,British Columbia,4505751,84.7
3/27/2022,Yukon,36533,83.1
3/27/2022,Northwest Territories,35045,80.3
3/27/2022,Nunavut,32940,81.3
4/3/2022,Canada,32417773,83.3
4/3/2022,Newfoundland and Labrador,498670,94.8
4/3/2022,Prince Edward Island,149941,87.8
4/3/2022,Nova Scotia,899011,88.2
4/3/2022,New Brunswick,698652,86
4/3/2022,Quebec,7377557,84.8
4/3/2022,Ontario,12523092,82.9
4/3/2022,Manitoba,1153603,81.9
4/3/2022,Saskatchewan,954009,79.8
4/3/2022,Alberta,3551369,78.2
4/3/2022,British Columbia,4507269,84.7
4/3/2022,Yukon,36537,83.1
4/3/2022,Northwest Territories,35054,80.4
4/3/2022,Nunavut,33009,81.5
4/10/2022,Canada,32428772,83.3
4/10/2022,Newfoundland and Labrador,498753,94.8
4/10/2022,Prince Edward Island,149980,87.9
4/10/2022,Nova Scotia,899281,88.2
4/10/2022,New Brunswick,698817,86.1
4/10/2022,Quebec,7379460,84.9
4/10/2022,Ontario,12526296,82.9
4/10/2022,Manitoba,1154076,81.9
4/10/2022,Saskatchewan,954283,79.9
4/10/2022,Alberta,3552983,78.2
4/10/2022,British Columbia,4510170,84.8
4/10/2022,Yukon,36552,83.1
4/10/2022,Northwest Territories,35057,80.4
4/10/2022,Nunavut,33064,81.6
4/24/2022,Canada,32447114,83.4
4/24/2022,Newfoundland and Labrador,498904,94.9
4/24/2022,Prince Edward Island,150076,87.9
4/24/2022,Nova Scotia,899803,88.2
4/24/2022,New Brunswick,699171,86.1
4/24/2022,Quebec,7383086,84.9
4/24/2022,Ontario,12537186,83
4/24/2022,Manitoba,1147979,81.5
4/24/2022,Saskatchewan,954920,79.9
4/24/2022,Alberta,3556699,78.3
4/24/2022,British Columbia,4514531,84.9
4/24/2022,Yukon,36565,83.2
4/24/2022,Northwest Territories,35077,80.4
4/24/2022,Nunavut,33117,81.7
5/8/2022,Canada,32457819,83.4
5/8/2022,Newfoundland and Labrador,499164,94.9
5/8/2022,Prince Edward Island,150155,88
5/8/2022,Nova Scotia,900298,88.3
5/8/2022,New Brunswick,699543,86.1
5/8/2022,Quebec,7378249,84.8
5/8/2022,Ontario,12546587,83
5/8/2022,Manitoba,1148288,81.5
5/8/2022,Saskatchewan,955538,80
5/8/2022,Alberta,3560833,78.4
5/8/2022,British Columbia,4514324,84.9
5/8/2022,Yukon,36606,83.3
5/8/2022,Northwest Territories,35092,80.5
5/8/2022,Nunavut,33142,81.8
5/22/2022,Canada,32479479,83.4
5/22/2022,Newfoundland and Labrador,499354,94.9
5/22/2022,Prince Edward Island,150248,88
5/22/2022,Nova Scotia,900733,88.3
5/22/2022,New Brunswick,699838,86.2
5/22/2022,Quebec,7381597,84.9
5/22/2022,Ontario,12555600,83.1
5/22/2022,Manitoba,1148563,81.5
5/22/2022,Saskatchewan,956150,80
5/22/2022,Alberta,3564293,78.5
5/22/2022,British Columbia,4518189,84.9
5/22/2022,Yukon,36629,83.3
5/22/2022,Northwest Territories,35115,80.5
5/22/2022,Nunavut,33170,81.8
6/19/2022,Canada,32510831,83.5
6/19/2022,Newfoundland and Labrador,499706,95
6/19/2022,Prince Edward Island,150391,88.1
6/19/2022,Nova Scotia,901462,88.4
6/19/2022,New Brunswick,700533,86.3
6/19/2022,Quebec,7387093,85
6/19/2022,Ontario,12566850,83.2
6/19/2022,Manitoba,1149061,81.5
6/19/2022,Saskatchewan,957138,80.1
6/19/2022,Alberta,3569539,78.6
6/19/2022,British Columbia,4524033,85
6/19/2022,Yukon,36655,83.4
6/19/2022,Northwest Territories,35142,80.6
6/19/2022,Nunavut,33228,82
7/17/2022,Canada,32521411,83.5
7/17/2022,Newfoundland and Labrador,500017,95.1
7/17/2022,Prince Edward Island,150548,88.2
7/17/2022,Nova Scotia,902193,88.5
7/17/2022,New Brunswick,701128,86.3
7/17/2022,Quebec,7380033,84.9
7/17/2022,Ontario,12573708,83.2
7/17/2022,Manitoba,1149563,81.6
7/17/2022,Saskatchewan,957997,80.2
7/17/2022,Alberta,3573383,78.7
7/17/2022,British Columbia,4527735,85.1
7/17/2022,Yukon,36671,83.4
7/17/2022,Northwest Territories,35142,80.6
7/17/2022,Nunavut,33293,82.2
8/14/2022,Canada,32209987,82.7
8/14/2022,Newfoundland and Labrador,501184,95.3
8/14/2022,Prince Edward Island,151078,88.5
8/14/2022,Nova Scotia,905508,88.8
8/14/2022,New Brunswick,702070,86.5
8/14/2022,Quebec,6992319,80.4
8/14/2022,Ontario,12611718,83.5
8/14/2022,Manitoba,1151447,81.7
8/14/2022,Saskatchewan,961944,80.5
8/14/2022,Alberta,3585477,78.9
8/14/2022,British Columbia,4543239,85.4
8/14/2022,Yukon,36639,83.3
8/14/2022,Northwest Territories,34638,79.4
8/14/2022,Nunavut,32726,80.8
9/11/2022,Canada,32287214,82.9
9/11/2022,Newfoundland and Labrador,502160,95.5
9/11/2022,Prince Edward Island,151533,88.8
9/11/2022,Nova Scotia,907253,89
9/11/2022,New Brunswick,703706,86.7
9/11/2022,Quebec,7001776,80.5
9/11/2022,Ontario,12644274,83.7
9/11/2022,Manitoba,1154499,81.9
9/11/2022,Saskatchewan,965206,80.8
9/11/2022,Alberta,3596158,79.2
9/11/2022,British Columbia,4556344,85.7
9/11/2022,Yukon,36821,83.8
9/11/2022,Northwest Territories,34721,79.6
9/11/2022,Nunavut,32763,80.8
10/9/2022,Canada,32323268,83
10/9/2022,Newfoundland and Labrador,502638,95.6
10/9/2022,Prince Edward Island,151860,89
10/9/2022,Nova Scotia,908614,89.1
10/9/2022,New Brunswick,704410,86.7
10/9/2022,Quebec,7007518,80.6
10/9/2022,Ontario,12658798,83.8
10/9/2022,Manitoba,1156113,82
10/9/2022,Saskatchewan,966985,80.9
10/9/2022,Alberta,3601165,79.3
10/9/2022,British Columbia,4560777,85.7
10/9/2022,Yukon,36863,83.8
10/9/2022,Northwest Territories,34763,79.7
10/9/2022,Nunavut,32764,80.8
11/6/2022,Canada,32358195,83.1
11/6/2022,Newfoundland and Labrador,503396,95.7
11/6/2022,Prince Edward Island,152145,89.1
11/6/2022,Nova Scotia,909865,89.2
11/6/2022,New Brunswick,704808,86.8
11/6/2022,Quebec,7013192,80.7
11/6/2022,Ontario,12670372,83.9
11/6/2022,Manitoba,1157581,82.1
11/6/2022,Saskatchewan,969428,81.1
11/6/2022,Alberta,3605381,79.4
11/6/2022,British Columbia,4567535,85.9
11/6/2022,Yukon,36999,84.2
11/6/2022,Northwest Territories,34716,79.6
11/6/2022,Nunavut,32777,80.9
12/4/2022,Canada,32408780,83.3
12/4/2022,Newfoundland and Labrador,504081,95.8
12/4/2022,Prince Edward Island,152694,89.5
12/4/2022,Nova Scotia,911315,89.4
12/4/2022,New Brunswick,705056,86.8
12/4/2022,Quebec,7017520,80.7
12/4/2022,Ontario,12684588,84
12/4/2022,Manitoba,1159150,82.3
12/4/2022,Saskatchewan,971939,81.3
12/4/2022,Alberta,3609940,79.5
12/4/2022,British Columbia,4587433,86.2
12/4/2022,Yukon,37075,84.3
12/4/2022,Northwest Territories,35196,80.7
12/4/2022,Nunavut,32793,80.9
1/1/2023,Canada,32442353,83.3
1/1/2023,Newfoundland and Labrador,504534,95.9
1/1/2023,Prince Edward Island,152950,89.6
1/1/2023,Nova Scotia,913364,89.6
1/1/2023,New Brunswick,705263,86.8
1/1/2023,Quebec,7022497,80.8
1/1/2023,Ontario,12690840,84
1/1/2023,Manitoba,1159727,82.3
1/1/2023,Saskatchewan,973608,81.5
1/1/2023,Alberta,3613332,79.5
1/1/2023,British Columbia,4600969,86.5
1/1/2023,Yukon,37168,84.5
1/1/2023,Northwest Territories,35286,80.9
1/1/2023,Nunavut,32815,81
1/29/2023,Canada,32462043,83.4
1/29/2023,Newfoundland and Labrador,504949,96
1/29/2023,Prince Edward Island,153261,89.8
1/29/2023,Nova Scotia,914010,89.6
1/29/2023,New Brunswick,705564,86.9
1/29/2023,Quebec,7021757,80.8
1/29/2023,Ontario,12696516,84
1/29/2023,Manitoba,1160183,82.3
1/29/2023,Saskatchewan,975113,81.6
1/29/2023,Alberta,3616529,79.6
1/29/2023,British Columbia,4609282,86.7
1/29/2023,Yukon,37210,84.6
1/29/2023,Northwest Territories,34887,80
1/29/2023,Nunavut,32782,80.9
2/26/2023,Canada,32467548,83.4
2/26/2023,Newfoundland and Labrador,505165,96
2/26/2023,Prince Edward Island,153389,89.9
2/26/2023,Nova Scotia,914274,89.7
2/26/2023,New Brunswick,705756,86.9
2/26/2023,Quebec,7022891,80.8
2/26/2023,Ontario,12693484,84
2/26/2023,Manitoba,1160398,82.3
2/26/2023,Saskatchewan,975958,81.7
2/26/2023,Alberta,3618415,79.6
2/26/2023,British Columbia,4611595,86.7
2/26/2023,Yukon,37309,84.9
2/26/2023,Northwest Territories,34495,79.1
2/26/2023,Nunavut,34419,84.9
3/26/2023,Canada,32464613,83.4
3/26/2023,Newfoundland and Labrador,502850,95.6
3/26/2023,Prince Edward Island,153464,89.9
3/26/2023,Nova Scotia,914507,89.7
3/26/2023,New Brunswick,705982,86.9
3/26/2023,Quebec,7024333,80.8
3/26/2023,Ontario,12689223,84
3/26/2023,Manitoba,1158894,82.2
3/26/2023,Saskatchewan,976595,81.7
3/26/2023,Alberta,3619485,79.7
3/26/2023,British Columbia,4613061,86.7
3/26/2023,Yukon,37290,84.8
3/26/2023,Northwest Territories,34499,79.1
3/26/2023,Nunavut,34430,85
4/23/2023,Canada,32388709,83.2
4/23/2023,Newfoundland and Labrador,502954,95.6
4/23/2023,Prince Edward Island,153556,90
4/23/2023,Nova Scotia,838424,82.2
4/23/2023,New Brunswick,706119,87
4/23/2023,Quebec,7027907,80.8
4/23/2023,Ontario,12683790,83.9
4/23/2023,Manitoba,1157897,82.2
4/23/2023,Saskatchewan,977070,81.8
4/23/2023,Alberta,3620374,79.7
4/23/2023,British Columbia,4614414,86.7
4/23/2023,Yukon,37273,84.8
4/23/2023,Northwest Territories,34499,79.1
4/23/2023,Nunavut,34432,85
